candidate_id,rank,score,reasoning
CAND_0099806,17,0.5936,"Strong fit candidate with 4.6 years experience as AI Engineer at Mad Street Den; they built search and ranking features. Equipped with LoRA, RAG, Sentence Transformers, showing positive indicators including immediate 30-day availability and exceptional responsiveness (76% response rate)."
CAND_0006567,18,0.5913,"Strong fit candidate with 7.9 years experience as Senior AI Engineer at Meta; they shipped ML or search components to production. Equipped with NLP, showing positive indicators including 60-day notice period and exceptional responsiveness (79% response rate)."
CAND_0079284,19,0.5863,"Strong fit candidate with 4.9 years experience as Machine Learning Engineer at Google; they built search and ranking features. Equipped with QLoRA, Qdrant, Fine-tuning LLMs, showing positive indicators including immediate 30-day availability and exceptional responsiveness (79% response rate)."
CAND_0054100,20,0.5803,"Strong fit candidate with 6.0 years experience as Junior ML Engineer at Zoho; they shipped ML or search components to production. Equipped with Vector Search, Semantic Search, QLoRA, showing positive indicators including 60-day notice period and exceptional responsiveness (79% response rate)."
CAND_0066690,21,0.5728,"Strong fit candidate with 4.8 years experience as ML Engineer at Freshworks; they shipped ML or search components to production. Equipped with Sentence Transformers, Semantic Search, Elasticsearch, showing positive indicators including immediate 30-day availability and exceptional responsiveness (88% response rate)."
CAND_0003841,22,0.5572,"Strong fit candidate with 5.0 years experience as ML Engineer at Tech Mahindra; they shipped ML or search components to production. Equipped with Pinecone, Fine-tuning LLMs, Sentence Transformers, showing positive indicators including immediate 30-day availability and exceptional responsiveness (71% response rate)."
CAND_0026942,23,0.5558,"Strong fit candidate with 6.0 years experience as Junior ML Engineer at Verloop.io; they shipped ML or search components to production. Equipped with Learning to Rank, Information Retrieval, showing positive indicators including immediate 30-day availability and exceptional responsiveness (84% response rate)."
CAND_0075574,24,0.5552,"Strong fit candidate with 5.7 years experience as Machine Learning Engineer at Haptik; they shipped learning-to-rank models. Equipped with Weaviate, Qdrant, Vector Search, showing positive indicators including 60-day notice period and good response rate (57%)."
CAND_0018701,25,0.5453,"Strong fit candidate with 6.0 years experience as Junior ML Engineer at Krutrim; they shipped ML or search components to production. Equipped with Elasticsearch, Information Retrieval, Fine-tuning LLMs, showing positive indicators including 60-day notice period and exceptional responsiveness (71% response rate)."
CAND_0043637,26,0.5409,"Strong fit candidate with 5.5 years experience as Junior ML Engineer at Rephrase.ai; they shipped ML or search components to production. Equipped with PyTorch, Milvus, QLoRA, showing positive indicators including 60-day notice period and exceptional responsiveness (92% response rate)."
CAND_0007052,27,0.5393,"Strong fit candidate with 6.5 years experience as ML Engineer at Unacademy; they shipped ML or search components to production. Equipped with RAG, Weaviate, Milvus, showing positive indicators including 60-day notice period and exceptional responsiveness (85% response rate)."
CAND_0061257,28,0.5382,"Strong fit candidate with 8.0 years experience as Staff Machine Learning Engineer at LinkedIn; they built search and ranking features. Equipped with AI/ML core skills, showing positive indicators including immediate 30-day availability and exceptional responsiveness (87% response rate)."
CAND_0043860,29,0.5342,"Strong fit candidate with 6.1 years experience as Junior ML Engineer at Aganitha; they built search and ranking features. Equipped with Semantic Search, Information Retrieval, Qdrant, showing positive indicators including immediate 30-day availability and exceptional responsiveness (81% response rate)."
CAND_0073504,30,0.5234,"Strong fit candidate with 6.6 years experience as Junior ML Engineer at PolicyBazaar; they shipped ML or search components to production. Equipped with Elasticsearch, RAG, Vector Search, showing positive indicators including 60-day notice period and exceptional responsiveness (78% response rate)."
CAND_0068351,31,0.5158,"Strong fit candidate with 6.4 years experience as Lead AI Engineer at Sarvam AI; they built search and ranking features. Equipped with Qdrant, Elasticsearch, LoRA, showing positive indicators including immediate 30-day availability and exceptional responsiveness (86% response rate)."
CAND_0054123,32,0.5071,"Strong fit candidate with 4.7 years experience as Applied ML Engineer at Meta; they built search and ranking features. Equipped with Weaviate, Qdrant, Vector Search, showing positive indicators including 60-day notice period and exceptional responsiveness (87% response rate)."
CAND_0067866,33,0.5054,"Strong fit candidate with 6.4 years experience as Senior Software Engineer (ML) at Tech Mahindra; they built search and ranking features. Equipped with Elasticsearch, LoRA, Qdrant, showing positive indicators including 60-day notice period and exceptional responsiveness (79% response rate)."
CAND_0098846,34,0.4904,"Strong fit candidate with 7.6 years experience as AI Engineer at upGrad; they shipped learning-to-rank models. Equipped with QLoRA, Qdrant, showing positive indicators including 60-day notice period and good response rate (62%)."
CAND_0047542,35,0.4899,"Strong fit candidate with 5.0 years experience as Senior Software Engineer (ML) at Meesho; they shipped ML or search components to production. Equipped with Learning to Rank, Weaviate, Sentence Transformers, showing positive indicators including 60-day notice period and exceptional responsiveness (75% response rate)."
CAND_0030348,36,0.4854,"Strong fit candidate with 4.5 years experience as Machine Learning Engineer at BYJU'S; they designed large-scale semantic search. Equipped with PyTorch, Vector Search, Elasticsearch, showing positive indicators including 60-day notice period and good response rate (54%)."
CAND_0064888,37,0.4824,"Strong fit candidate with 5.8 years experience as ML Engineer at Verloop.io; they shipped ML or search components to production. Equipped with Learning to Rank, Elasticsearch, Fine-tuning LLMs, showing positive indicators including immediate 30-day availability and exceptional responsiveness (92% response rate)."
CAND_0090093,38,0.4764,"Strong fit candidate with 4.4 years experience as Data Scientist at Flipkart; they shipped ML or search components to production. Equipped with LoRA, QLoRA, Milvus, showing positive indicators including 60-day notice period and exceptional responsiveness (73% response rate)."
CAND_0007596,39,0.4747,"Strong fit candidate with 4.4 years experience as Junior ML Engineer at Flipkart; they built search and ranking features. Equipped with Weaviate, Vector Search, Semantic Search, showing positive indicators including 60-day notice period and exceptional responsiveness (86% response rate)."
CAND_0081852,40,0.4736,"Strong fit candidate with 5.9 years experience as Senior Data Scientist at Mad Street Den; they built and shipped RAG pipelines. Equipped with Semantic Search, Milvus, Weaviate, showing positive indicators including 60-day notice period and good response rate (44%)."
CAND_0015057,41,0.4717,"Strong fit candidate with 4.6 years experience as ML Engineer at Meesho; they shipped ML or search components to production. Equipped with Sentence Transformers, Vector Search, Semantic Search, showing positive indicators including 90-day notice period and exceptional responsiveness (85% response rate)."
CAND_0043228,42,0.4655,"Strong fit candidate with 6.8 years experience as Applied ML Engineer at Zoho; they shipped learning-to-rank models. Equipped with NLP, Vector Search, Sentence Transformers, showing positive indicators including immediate 30-day availability and good response rate (41%)."
CAND_0069905,43,0.4647,"Strong fit candidate with 6.6 years experience as Applied ML Engineer at Sarvam AI; they designed large-scale semantic search. Equipped with LoRA, Sentence Transformers, Weaviate, showing positive indicators including 90-day notice period and exceptional responsiveness (78% response rate)."
CAND_0025882,44,0.4549,"Strong fit candidate with 5.6 years experience as Senior Software Engineer (ML) at Freshworks; they shipped ML or search components to production. Equipped with Vector Search, LoRA, Milvus, showing positive indicators including 60-day notice period and exceptional responsiveness (79% response rate)."
CAND_0091745,45,0.4481,"Strong fit candidate with 5.9 years experience as Junior ML Engineer at Locobuzz; they shipped ML or search components to production. Equipped with Fine-tuning LLMs, PyTorch, showing positive indicators including immediate 30-day availability and good response rate (53%)."
CAND_0041669,46,0.4471,"Strong fit candidate with 8.0 years experience as Recommendation Systems Engineer at CRED; they shipped learning-to-rank models. Equipped with Milvus, QLoRA, Semantic Search, showing positive indicators including 60-day notice period and exceptional responsiveness (77% response rate)."
CAND_0011263,47,0.4458,"Strong fit candidate with 5.1 years experience as ML Engineer at Ola; they shipped ML or search components to production. Equipped with Pinecone, Information Retrieval, NLP, showing positive indicators including 60-day notice period and good response rate (42%)."
CAND_0052328,48,0.4428,"Strong fit candidate with 6.5 years experience as Recommendation Systems Engineer at Amazon; they built and shipped RAG pipelines. Equipped with LoRA, QLoRA, Learning to Rank, showing positive indicators including immediate 30-day availability and exceptional responsiveness (79% response rate)."
CAND_0045475,49,0.4424,"Strong fit candidate with 4.9 years experience as ML Engineer at Genpact AI; they shipped ML or search components to production. Equipped with PyTorch, Pinecone, QLoRA, showing positive indicators including 60-day notice period and good response rate (55%)."
CAND_0015578,50,0.4400,"Strong fit candidate with 5.4 years experience as AI Engineer at Zoho; they built and shipped RAG pipelines. Equipped with NLP, Sentence Transformers, Pinecone, showing positive indicators including 90-day notice period and good response rate (65%)."
CAND_0091909,51,0.4400,"Viable Machine Learning Engineer with 6.9 years experience, matching core skills like LLMs, Pinecone, QLoRA. Matches core JD skills and represents a viable candidate for hybrid work from Bangalore, Karnataka."
CAND_0018094,52,0.4397,"Viable ML Engineer with 5.2 years experience, matching core skills like Semantic Search, QLoRA, Pinecone. Matches core JD skills and represents a viable candidate for hybrid work from Bangalore, Karnataka."
CAND_0045141,53,0.4383,"Viable Data Scientist with 5.3 years experience, matching core skills like Milvus, Pinecone, QLoRA. Matches core JD skills and represents a viable candidate for hybrid work from Kochi, Kerala."
CAND_0001819,54,0.4351,"Viable ML Engineer with 4.4 years experience, matching core skills like Weaviate, PyTorch, RAG. Matches core JD skills and represents a viable candidate for hybrid work from Coimbatore, Tamil Nadu."
CAND_0010603,55,0.4343,"Viable ML Engineer with 5.3 years experience, matching core skills like Information Retrieval, though they have a longer 90-day notice. Matches core JD skills and represents a viable candidate for hybrid work from Bangalore, Karnataka."
CAND_0053605,56,0.4320,"Viable Senior Software Engineer (ML) with 6.9 years experience, matching core skills like Semantic Search, RAG. Matches core JD skills and represents a viable candidate for hybrid work from Noida, Uttar Pradesh."
CAND_0021410,57,0.4319,"Viable Junior ML Engineer with 4.0 years experience, matching core skills like PyTorch, LLMs, Milvus. Matches core JD skills and represents a viable candidate for hybrid work from Hyderabad, Telangana."
CAND_0093193,58,0.4292,"Viable Senior Machine Learning Engineer with 7.9 years experience, matching core skills like Qdrant. Matches core JD skills and represents a viable candidate for hybrid work from Bangalore, Karnataka."
CAND_0082086,59,0.4287,"Viable Senior Software Engineer (ML) with 6.0 years experience, matching core skills like Pinecone, PyTorch, QLoRA. Matches core JD skills and represents a viable candidate for hybrid work from Delhi, Delhi."
CAND_0015967,60,0.4277,"Viable Senior Software Engineer (ML) with 5.4 years experience, matching core skills like QLoRA, Pinecone, Semantic Search. Matches core JD skills and represents a viable candidate for hybrid work from Hyderabad, Telangana."
CAND_0040955,61,0.4239,"Viable Junior ML Engineer with 6.6 years experience, matching core skills like Sentence Transformers, Vector Search, NLP. Matches core JD skills and represents a viable candidate for hybrid work from Pune, Maharashtra."
CAND_0050876,62,0.4237,"Viable Applied ML Engineer with 6.0 years experience, matching core skills like Qdrant, QLoRA, Sentence Transformers, though they have a longer 90-day notice. Matches core JD skills and represents a viable candidate for hybrid work from Kolkata, West Bengal."
CAND_0073314,63,0.4228,"Viable Senior Software Engineer (ML) with 5.2 years experience, matching core skills like Milvus, Elasticsearch, PyTorch. Matches core JD skills and represents a viable candidate for hybrid work from Noida, Uttar Pradesh."
CAND_0028422,64,0.4207,"Viable Junior ML Engineer with 5.5 years experience, matching core skills like Pinecone, Vector Search, Learning to Rank, though they have a longer 90-day notice. Matches core JD skills and represents a viable candidate for hybrid work from Chennai, Tamil Nadu."
CAND_0070525,65,0.4199,"Viable Senior Software Engineer (ML) with 5.4 years experience, matching core skills like LLMs. Matches core JD skills and represents a viable candidate for hybrid work from Hyderabad, Telangana."
CAND_0058575,66,0.4182,"Viable AI Engineer with 5.8 years experience, matching core skills like Pinecone, PyTorch, Sentence Transformers, though they have a longer 90-day notice. Matches core JD skills and represents a viable candidate for hybrid work from Chennai, Tamil Nadu."
CAND_0083852,67,0.4178,"Viable Data Scientist with 6.0 years experience, matching core skills like Qdrant, QLoRA, Pinecone, though they have a longer 90-day notice. Matches core JD skills and represents a viable candidate for hybrid work from Ahmedabad, Gujarat."
CAND_0058426,68,0.4176,"Viable Data Scientist with 6.5 years experience, matching core skills like Weaviate, Fine-tuning LLMs, QLoRA. Matches core JD skills and represents a viable candidate for hybrid work from Bangalore, Karnataka."
CAND_0008239,69,0.4175,"Viable AI Engineer with 4.0 years experience, matching core skills like Milvus, Semantic Search, Elasticsearch. Matches core JD skills and represents a viable candidate for hybrid work from Jaipur, Rajasthan."
CAND_0020877,70,0.4162,"Viable Applied ML Engineer with 5.1 years experience, matching core skills like QLoRA, Elasticsearch, PyTorch. Matches core JD skills and represents a viable candidate for hybrid work from Gurgaon, Haryana."
CAND_0092255,71,0.4160,"Viable ML Engineer with 5.2 years experience, matching core skills like PyTorch, Weaviate, Semantic Search. Matches core JD skills and represents a viable candidate for hybrid work from Noida, Uttar Pradesh."
CAND_0092181,72,0.4073,"Viable Data Scientist with 4.6 years experience, matching core skills like Fine-tuning LLMs, PyTorch, LLMs. Matches core JD skills and represents a viable candidate for hybrid work from Mumbai, Maharashtra."
CAND_0096655,73,0.4071,"Viable Junior ML Engineer with 5.9 years experience, matching core skills like PyTorch, RAG. Matches core JD skills and represents a viable candidate for hybrid work from Hyderabad, Telangana."
CAND_0000031,74,0.4068,"Viable Recommendation Systems Engineer with 6.0 years experience, matching core skills like Pinecone, Information Retrieval, Sentence Transformers. Matches core JD skills and represents a viable candidate for hybrid work from Hyderabad, Telangana."
CAND_0012837,75,0.4042,"Viable Junior ML Engineer with 6.4 years experience, matching core skills like Vector Search, Weaviate, LLMs. Matches core JD skills and represents a viable candidate for hybrid work from Chandigarh, Chandigarh."
CAND_0084283,76,0.4025,"Viable Junior ML Engineer with 3.6 years experience, matching core skills like Pinecone, Elasticsearch, QLoRA. Matches core JD skills and represents a viable candidate for hybrid work from Pune, Maharashtra."
CAND_0012840,77,0.4005,"Viable Junior ML Engineer with 3.7 years experience, matching core skills like Qdrant. Matches core JD skills and represents a viable candidate for hybrid work from Mumbai, Maharashtra."
CAND_0053527,78,0.3994,"Viable Junior ML Engineer with 7.0 years experience, matching core skills like Pinecone, Qdrant, QLoRA, though they have a longer 90-day notice. Matches core JD skills and represents a viable candidate for hybrid work from Bangalore, Karnataka."
CAND_0098217,79,0.3994,"Viable ML Engineer with 6.4 years experience, matching core skills like Learning to Rank, Pinecone. Matches core JD skills and represents a viable candidate for hybrid work from Noida, Uttar Pradesh."
CAND_0004972,80,0.3964,"Viable ML Engineer with 6.0 years experience, matching core skills like Semantic Search, RAG, PyTorch, though they have a longer 90-day notice. Matches core JD skills and represents a viable candidate for hybrid work from Gurgaon, Haryana."
CAND_0032216,81,0.3956,"Viable ML Engineer with 6.1 years experience, matching core skills like Learning to Rank, Information Retrieval, PyTorch. Matches core JD skills and represents a viable candidate for hybrid work from Chennai, Tamil Nadu."
CAND_0040178,82,0.3951,"Viable ML Engineer with 5.0 years experience, matching core skills like Weaviate, Fine-tuning LLMs, Vector Search. Matches core JD skills and represents a viable candidate for hybrid work from Pune, Maharashtra."
CAND_0042029,83,0.3928,"Viable Senior Data Scientist with 6.5 years experience, matching core skills like PyTorch, NLP, RAG. Matches core JD skills and represents a viable candidate for hybrid work from Delhi, Delhi."
CAND_0052431,84,0.3924,"Viable ML Engineer with 5.3 years experience, matching core skills like Semantic Search, Milvus. Matches core JD skills and represents a viable candidate for hybrid work from Ahmedabad, Gujarat."
CAND_0090155,85,0.3921,"Viable ML Engineer with 5.8 years experience, matching core skills like Milvus, Qdrant, Pinecone, though they have a longer 90-day notice. Matches core JD skills and represents a viable candidate for hybrid work from Pune, Maharashtra."
CAND_0080766,86,0.3917,"Viable Staff Machine Learning Engineer with 8.8 years experience, matching core skills like LoRA, Elasticsearch, QLoRA. Matches core JD skills and represents a viable candidate for hybrid work from Coimbatore, Tamil Nadu."
CAND_0017093,87,0.3894,"Viable ML Engineer with 5.9 years experience, matching core skills like LLMs, Learning to Rank. Matches core JD skills and represents a viable candidate for hybrid work from Hyderabad, Telangana."
CAND_0060054,88,0.3889,"Viable AI Engineer with 6.4 years experience, matching core skills like Weaviate, Elasticsearch, Semantic Search. Matches core JD skills and represents a viable candidate for hybrid work from Jaipur, Rajasthan."
CAND_0086022,89,0.3888,"Viable Senior Applied Scientist with 5.3 years experience, matching core skills like Vector Search, Fine-tuning LLMs, Elasticsearch. Matches core JD skills and represents a viable candidate for hybrid work from Kolkata, West Bengal."
CAND_0094891,90,0.3888,"Viable Data Engineer with 5.8 years experience, matching core skills like Milvus, LLMs, Elasticsearch. Matches core JD skills and represents a viable candidate for hybrid work from Pune, Maharashtra."
CAND_0005649,91,0.3819,"Viable Senior Data Scientist with 7.4 years experience, matching core skills like Fine-tuning LLMs, QLoRA, Semantic Search, though they have a longer 90-day notice. Matches core JD skills and represents a viable candidate for hybrid work from Delhi, Delhi."
CAND_0044855,92,0.3815,"Viable Senior Data Scientist with 6.6 years experience, matching core skills like Learning to Rank, Information Retrieval, Pinecone. Matches core JD skills and represents a viable candidate for hybrid work from Coimbatore, Tamil Nadu."
CAND_0027691,93,0.3802,"Viable NLP Engineer with 6.5 years experience, matching core skills like LoRA, Weaviate, Learning to Rank. Matches core JD skills and represents a viable candidate for hybrid work from Pune, Maharashtra."
CAND_0065195,94,0.3762,"Viable Search Engineer with 5.1 years experience, matching core skills like LLMs, QLoRA, Elasticsearch. Matches core JD skills and represents a viable candidate for hybrid work from Kolkata, West Bengal."
CAND_0010149,95,0.3731,"Viable ML Engineer with 6.9 years experience, matching core skills like Milvus, Vector Search, Learning to Rank, though they have a longer 90-day notice. Matches core JD skills and represents a viable candidate for hybrid work from Bangalore, Karnataka."
CAND_0036863,96,0.3676,"Viable Senior Data Scientist with 4.3 years experience, matching core skills like Qdrant, LoRA. Matches core JD skills and represents a viable candidate for hybrid work from Chennai, Tamil Nadu."
CAND_0074098,97,0.3675,"Viable Data Scientist with 4.9 years experience, matching core skills like LLMs, Fine-tuning LLMs, LoRA. Matches core JD skills and represents a viable candidate for hybrid work from Pune, Maharashtra."
CAND_0009024,98,0.3674,"Viable Search Engineer with 5.2 years experience, matching core skills like Qdrant, PyTorch, LoRA. Matches core JD skills and represents a viable candidate for hybrid work from Chennai, Tamil Nadu."
CAND_0073982,99,0.3651,"Viable Data Scientist with 7.0 years experience, matching core skills like Sentence Transformers, Qdrant, RAG. Matches core JD skills and represents a viable candidate for hybrid work from Delhi, Delhi."
CAND_0041016,100,0.3629,"Viable Junior ML Engineer with 5.2 years experience, matching core skills like Sentence Transformers, QLoRA, Milvus, though they have a longer 90-day notice. Matches core JD skills and represents a viable candidate for hybrid work from Bangalore, Karnataka."
